VASEmethod[EllipsometerType=4 , CompleteEASE=6.50, AcqTime=6.023, ZoneAve=1, Recipe=Krzysztof_recipe, Acq. Parameters=Krzysztof_rec.parms,M2K=1, EID=1180286, Measurement Start Time=10/11/2023-09:55:40]
Angstroms
dPolE	2414.936768	50.000000	-0.311732	1.000000
E	2430.781982	50.000000	43.465508	132.954254	0.006316	0.010558
uR	2430.781982	50.000000	0.517589	1.000000
dPolE	2430.781982	50.000000	-0.345125	1.000000
E	2446.627441	50.000000	43.380585	132.985611	0.006475	0.010771
uR	2446.627441	50.000000	0.525864	1.000000
dPolE	2446.627441	50.000000	-0.291038	1.000000
E	2462.473145	50.000000	43.291809	133.008133	0.006277	0.010400
uR	2462.473145	50.000000	0.534360	1.000000
dPolE	2462.473145	50.000000	-0.197757	1.000000
E	2478.319092	50.000000	43.224091	133.101089	0.006473	0.010675
uR	2478.319092	50.000000	0.543396	1.000000
dPolE	2478.319092	50.000000	-0.040760	1.000000
E	2494.165283	50.000000	43.174019	133.171478	0.006352	0.010436
uR	2494.165283	50.000000	0.553338	1.000000
dPolE	2494.165283	50.000000	-0.115759	1.000000
E	2510.011475	50.000000	43.122261	133.253387	0.006480	0.010612
uR	2510.011475	50.000000	0.563560	1.000000
dPolE	2510.011475	50.000000	-0.034268	1.000000
E	2525.858154	50.000000	43.061058	133.412689	0.006554	0.010691
uR	2525.858154	50.000000	0.574334	1.000000
dPolE	2525.858154	50.000000	0.073583	1.000000
E	2541.704834	50.000000	43.011101	133.497498	0.006709	0.010915
uR	2541.704834	50.000000	0.584793	1.000000
dPolE	2541.704834	50.000000	0.082743	1.000000
E	2557.551758	50.000000	42.982418	133.732773	0.006761	0.010954
uR	2557.551758	50.000000	0.595467	1.000000
dPolE	2557.551758	50.000000	0.134070	1.000000
E	2573.398926	50.000000	42.942589	133.889038	0.006924	0.011186
uR	2573.398926	50.000000	0.606189	1.000000
dPolE	2573.398926	50.000000	0.088627	1.000000
E	2589.246338	50.000000	42.902111	134.175781	0.007009	0.011279
uR	2589.246338	50.000000	0.616445	1.000000
dPolE	2589.246338	50.000000	0.136747	1.000000
E	2605.093750	50.000000	42.889969	134.401367	0.006951	0.011148
uR	2605.093750	50.000000	0.626921	1.000000
dPolE	2605.093750	50.000000	0.073263	1.000000
E	2620.941406	50.000000	42.855412	134.643265	0.007152	0.011435
uR	2620.941406	50.000000	0.635744	1.000000
dPolE	2620.941406	50.000000	0.137032	1.000000
E	2636.789307	50.000000	42.818356	134.979919	0.007106	0.011318
uR	2636.789307	50.000000	0.645003	1.000000
dPolE	2636.789307	50.000000	0.112325	1.000000
E	2652.637207	50.000000	42.775684	135.307968	0.006925	0.010991
uR	2652.637207	50.000000	0.653659	1.000000
dPolE	2652.637207	50.000000	0.127212	1.000000
E	2668.485352	50.000000	42.719521	135.609467	0.007196	0.011385
uR	2668.485352	50.000000	0.660705	1.000000
dPolE	2668.485352	50.000000	0.157322	1.000000
E	2684.333740	50.000000	42.685089	135.985458	0.007452	0.011748
uR	2684.333740	50.000000	0.667602	1.000000
dPolE	2684.333740	50.000000	0.214632	1.000000
E	2700.182129	50.000000	42.647045	136.364731	0.007527	0.011825
uR	2700.182129	50.000000	0.673863	1.000000
dPolE	2700.182129	50.000000	0.218645	1.000000
E	2716.031006	50.000000	42.601791	136.707962	0.007480	0.011718
uR	2716.031006	50.000000	0.678726	1.000000
dPolE	2716.031006	50.000000	0.288763	1.000000
E	2731.879639	50.000000	42.546772	137.122238	0.007615	0.011889
uR	2731.879639	50.000000	0.682306	1.000000
dPolE	2731.879639	50.000000	0.365134	1.000000
E	2747.728516	50.000000	42.483273	137.592651	0.007775	0.012094
uR	2747.728516	50.000000	0.684701	1.000000
dPolE	2747.728516	50.000000	0.298891	1.000000
E	2763.577637	50.000000	42.394672	138.036575	0.007829	0.012136
uR	2763.577637	50.000000	0.684875	1.000000
dPolE	2763.577637	50.000000	0.208235	1.000000
E	2779.427002	50.000000	42.302650	138.463318	0.007733	0.011955
uR	2779.427002	50.000000	0.682404	1.000000
dPolE	2779.427002	50.000000	0.168052	1.000000
E	2795.276367	50.000000	42.200447	138.912643	0.008094	0.012476
uR	2795.276367	50.000000	0.679561	1.000000
dPolE	2795.276367	50.000000	0.244472	1.000000
E	2811.125732	50.000000	42.096447	139.276352	0.008255	0.012704
uR	2811.125732	50.000000	0.676373	1.000000
dPolE	2811.125732	50.000000	0.285915	1.000000
E	2826.975342	50.000000	42.003136	139.712234	0.008295	0.012738
uR	2826.975342	50.000000	0.673547	1.000000
dPolE	2826.975342	50.000000	0.292616	1.000000
E	2842.825195	50.000000	41.885231	140.191467	0.008267	0.012662
uR	2842.825195	50.000000	0.671220	1.000000
dPolE	2842.825195	50.000000	0.272368	1.000000
E	2858.675049	50.000000	41.781879	140.686005	0.008646	0.013210
uR	2858.675049	50.000000	0.666999	1.000000
dPolE	2858.675049	50.000000	0.154715	1.000000
E	2874.524902	50.000000	41.598495	141.156128	0.008219	0.012533
uR	2874.524902	50.000000	0.659826	1.000000
dPolE	2874.524902	50.000000	0.322104	1.000000
E	2890.375000	50.000000	41.423481	141.591873	0.008668	0.013206
