E (eV)	eps1 	eps2 		
5.17	4.3863	11.077
5.16	4.4821	11.107
5.15	4.5787	11.135
5.14	4.676	11.161
5.13	4.774	11.185
5.12	4.8724	11.208
5.11	4.9715	11.228
5.1	5.071	11.247
5.09	5.1714	11.264
5.08	5.2721	11.28
5.07	5.3735	11.293
5.06	5.4752	11.305
5.05	5.5774	11.315
5.04	5.6803	11.323
5.03	5.7836	11.33
5.02	5.8875	11.334
5.01	5.9917	11.336
5	6.0965	11.337
4.99	6.2015	11.335
4.98	6.3067	11.331
4.97	6.4123	11.325
4.96	6.5178	11.317
4.95	6.6236	11.307
4.94	6.7291	11.294
4.93	6.8348	11.279
4.92	6.94	11.261
4.91	7.0449	11.242
4.9	7.1494	11.22
4.89	7.2532	11.195
4.88	7.3564	11.169
4.87	7.4588	11.14
4.86	7.5603	11.108
4.85	7.6607	11.075
4.84	7.76	11.04
4.83	7.858	11.002
4.82	7.9546	10.963
4.81	8.0498	10.921
4.8	8.1434	10.878
4.79	8.2353	10.833
4.78	8.3257	10.787
4.77	8.414	10.739
4.76	8.5005	10.69
4.75	8.5852	10.639
4.74	8.6678	10.587
4.73	8.7482	10.535
4.72	8.8268	10.482
4.71	8.9031	10.428
4.7	8.9772	10.373
4.69	9.0493	10.319
4.68	9.1191	10.264
4.67	9.1868	10.209
4.66	9.2523	10.155
4.65	9.3157	10.101
4.64	9.3772	10.047
4.63	9.4367	9.9948
4.62	9.4945	9.9435
4.61	9.5482	9.8934
4.6	9.6025	9.845
4.59	9.6553	9.7984
4.58	9.7071	9.7536
4.57	9.7579	9.7111
4.56	9.8082	9.6709
4.55	9.8582	9.6333
4.54	9.9082	9.5983
4.53	9.9587	9.566
4.52	10.01	9.5365
4.51	10.063	9.5099
4.5	10.118	9.4861
4.49	10.175	9.4649
4.48	10.235	9.4463
4.47	10.298	9.4298
4.46	10.365	9.4153
4.45	10.437	9.4023
4.44	10.513	9.3903
4.43	10.595	9.3788
4.42	10.683	9.3671
4.41	10.776	9.3544
4.4	10.876	9.34
4.39	10.981	9.3231
4.38	11.093	9.3028
4.37	11.211	9.2782
4.36	11.335	9.2484
4.35	11.464	9.2125
4.34	11.598	9.1697
4.33	11.736	9.1193
4.32	11.877	9.0604
4.31	12.021	8.9927
4.3	12.167	8.9154
4.29	12.314	8.8284
4.28	12.459	8.7313
4.27	12.604	8.624
4.26	12.745	8.507
4.25	12.883	8.3799
4.24	13.017	8.2434
4.23	13.144	8.098
4.22	13.265	7.9445
4.21	13.378	7.7832
4.2	13.484	7.6151
4.19	13.58	7.4412
4.18	13.667	7.2623
4.17	13.745	7.0793
4.16	13.814	6.8931
4.15	13.872	6.7047
4.14	13.921	6.5154
4.13	13.961	6.3255
4.12	13.991	6.1359
4.11	14.012	5.9477
4.1	14.024	5.7613
4.09	14.029	5.577
4.08	14.026	5.3962
4.07	14.015	5.2185
4.06	13.998	5.0446
4.05	13.975	4.875
4.04	13.946	4.7095
4.03	13.912	4.5489
4.02	13.873	4.3927
4.01	13.83	4.2414
4	13.784	4.0951
3.9934	13.751	4.0018
3.99	13.734	3.9537
3.9859	13.712	3.8966
3.98	13.681	3.8171
3.9783	13.672	3.7948
3.9708	13.631	3.696
3.97	13.626	3.6857
3.9633	13.588	3.6004
3.96	13.569	3.5591
3.9558	13.545	3.508
3.95	13.511	3.4376
3.9484	13.501	3.4186
3.941	13.457	3.3324
3.94	13.451	3.3209
3.9336	13.413	3.2491
3.93	13.391	3.2092
3.9263	13.368	3.1686
3.92	13.331	3.1023
3.9189	13.325	3.0913
3.9116	13.282	3.0168
3.91	13.272	3.0003
3.9044	13.24	2.9451
3.9	13.215	2.9033
3.8971	13.2	2.8763
3.89	13.162	2.811
3.8899	13.162	2.8102
3.8827	13.128	2.7469
3.88	13.117	2.7236
3.8756	13.1	2.6863
3.87	13.083	2.6411
3.8684	13.08	2.6284
3.8613	13.075	2.5732
3.86	13.077	2.5632
3.8542	12.908	2.5205
3.85	12.888	2.4903
3.8472	12.875	2.4705
3.8401	12.854	2.4155
3.84	12.853	2.4143
3.8331	12.826	2.3517
3.83	12.594	2.3232
3.8261	12.611	2.288
3.82	12.621	2.2318
3.8192	12.621	2.2244
3.8122	12.615	2.1611
3.81	12.611	2.1405
3.8054	12.599	2.0983
3.8	12.583	2.0499
3.7985	12.578	2.0361
3.7916	12.552	1.9745
3.7848	12.522	1.9138
3.778	12.49	1.854
3.7712	12.455	1.7952
3.7644	12.419	1.7375
3.7577	12.381	1.6809
3.751	12.341	1.6256
3.7443	12.301	1.5714
3.7377	12.259	1.5191
3.7311	12.217	1.468
3.7245	12.174	1.4182
3.718	12.13	1.3698
3.7115	12.085	1.3229
3.705	12.04	1.2773
3.6985	11.995	1.2332
3.692	11.95	1.1904
3.6856	11.904	1.149
3.6792	11.858	1.109
3.6728	11.812	1.0703
3.6665	11.766	1.033
3.6601	11.72	0.99684
3.6538	11.674	0.96199
3.6475	11.523	0.92839
3.6412	11.502	0.8959
3.6349	11.474	0.86454
3.6287	11.441	0.83431
3.6225	11.405	0.80513
3.6163	11.368	0.77698
3.6102	11.329	0.74981
3.604	11.29	0.72359
3.5979	11.25	0.69829
3.5918	11.211	0.67388
3.5857	11.171	0.65037
3.5796	11.131	0.62763
3.5736	11.091	0.60569
3.5675	11.052	0.58455
3.5615	11.012	0.56414
3.5556	10.973	0.54441
3.5496	10.935	0.52539
3.5436	10.896	0.50698
3.5377	10.858	0.48924
3.5318	10.821	0.47207
3.5259	10.784	0.45551
3.5201	10.747	0.43948
3.5142	10.71	0.42401
3.5084	10.674	0.40902
3.5026	10.639	0.39453
3.4968	10.603	0.38052
3.491	10.569	0.36697
3.4853	10.534	0.35385
3.4795	10.5	0.34116
3.4738	10.467	0.32887
3.4681	10.433	0.31698
3.4625	10.401	0.30545
3.4568	10.368	0.29429
3.4512	10.336	0.28347
3.4455	10.304	0.27299
3.4399	10.273	0.26284
3.4344	10.242	0.25299
3.4288	10.212	0.24346
3.4232	10.181	0.23421
3.4177	10.151	0.22524
3.4122	10.122	0.21656
3.4067	10.093	0.20814
3.4012	10.064	0.19997
3.3958	10.035	0.19205
3.3903	10.007	0.18438
3.3849	9.9793	0.17695
3.3795	9.9518	0.16974
3.3741	9.9245	0.16276
3.3687	9.8976	0.15599
3.3634	9.871	0.14944
3.3581	9.8446	0.14309
3.3527	9.8186	0.13694
3.3474	9.7928	0.13098
3.3421	9.7674	0.12522
3.3369	9.7422	0.11964
3.3316	9.7172	0.11424
3.3264	9.6926	0.10902
3.3212	9.6682	0.10397
3.316	9.6441	0.099097
3.3108	9.6203	0.094384
3.3056	9.5967	0.089835
3.3004	9.5734	0.085439
3.2953	9.5503	0.0812
3.2902	9.5275	0.077117
3.2851	9.5049	0.073177
3.28	9.4826	0.069385
3.2749	9.4604	0.065731
3.2698	9.4386	0.062219
3.2648	9.417	0.058847
3.2598	9.3956	0.055604
3.2548	9.3744	0.052488
3.2497	9.3534	0.049504
3.2448	9.3327	0.046649
3.2398	9.3122	0.043914
3.2348	9.292	0.041302
3.2299	9.2719	0.038807
3.225	9.2521	0.03643
3.2201	9.2325	0.034166
3.2152	9.2131	0.032015
3.2103	9.1939	0.029973
3.2055	9.1749	0.02804
3.2006	9.1562	0.026212
3.1958	9.1376	0.024487
3.191	9.1192	0.022868
3.1861	9.1011	0.021346
3.1813	9.0831	0.019924
3.1766	9.0654	0.018598
3.1718	9.0478	0.017368
3.1671	9.0305	0.016234
3.1623	9.0134	0.015188
3.1576	8.9964	0.014234
3.1529	8.9797	0.01337
3.1482	8.9632	0.012593
3.1435	8.9469	0.011901
3.1389	8.9308	0.011295
3.1342	8.915	0.010771
3.1296	8.8994	0.010308
3.125	8.884	0.0098662
